PIE001	Pierna	Sentadilla Trasera	Dominante Rodilla	Barra	Smith	Gimnasio	Media-Alta	Intermedio	Alta	PG, GMM, RD	Principal	ENF002, ENF003, ENF009	PAT001, PAT006, PAT007, PAT008, PAT009, PAT010, ENF001, ENF007, ENF008	PAT002
PIE002	Pierna	Sentadilla Frontal	Dominante Rodilla	Barra	Mancuernas	Gimnasio	Media-Alta	Avanzado	Alta	GMM, RD	Principal	ENF002, ENF003	PAT001, PAT006, PAT007, PAT008, PAT009, ENF001, ENF007, ENF008	PAT002
PIE003	Pierna	Peso Muerto Sumo	Dominante Cadera	Barra	Mancuernas	Gimnasio	Media-Alta	Avanzado	Alta	GMM, RD	Principal	ENF002, ENF003	PAT001, PAT009, PAT010, ENF001, ENF008	PAT002
PIE004	Pierna	Hip Thrust	Dominante Cadera	Barra	Máquina	Gimnasio/Casa	Media-Alta	Intermedio	Media-Alta	PG, GMM, RD	Principal	ENF001, ENF002, ENF003, ENF004	PAT001, PAT009, ENF010	PAT002
PIE005	Pierna	Buenos Días	Dominante Cadera	Barra	Smith	Gimnasio	Media-Alta	Avanzado	Alta	GMM, RD	Complementario	ENF002, ENF003	PAT001, PAT010	PAT002, ENF007
PIE006	Pierna	Sentadilla Goblet	Dominante Rodilla	Mancuerna	Kettlebell	Gimnasio/Casa	Media	Básico	Media	PG, GMM, SB	Complementario	ENF002, ENF003, ENF009	PAT001, PAT006, PAT007, PAT008	PAT002
PIE007	Pierna	Bulgarian Split Squat	Unilateral	Mancuernas	Propio Peso	Gimnasio/Casa	Media	Intermedio	Media-Alta	PG, GMM, RD	Complementario	ENF002, ENF003	PAT007, PAT008, PAT009, ENF008	PAT006
PIE008	Pierna	Desplante Caminando	Unilateral	Mancuernas	Propio Peso	Gimnasio/Aire Libre	Media	Intermedio	Media	PG, GMM, RD	Metabólico	ENF002, ENF003	PAT007, PAT008, PAT009, ENF001, ENF008	PAT006
PIE009	Pierna	Step Up	Unilateral	Mancuernas	Propio Peso	Gimnasio/Casa	Media	Básico	Media	PG, GMM, SB	Estabilidad	ENF001, ENF002, ENF003, ENF009	PAT007, PAT008, PAT009	Ninguna
PIE010	Pierna	Peso Muerto Unilateral	Dominante Cadera Unilateral	Mancuernas	Kettlebell	Gimnasio/Casa	Media	Intermedio	Media-Alta	GMM, RD	Estabilidad	ENF002, ENF003	PAT001, PAT008, PAT009	PAT002
PIE011	Pierna	Lunge Mancuerna	Unilateral	Mancuernas	Propio Peso	Gimnasio/Casa	Media	Básico	Media	PG, GMM, SB	Metabólico	ENF002, ENF003	PAT007, PAT008, PAT009	PAT006
PIE012	Pierna	Prensa de Pierna	Dominante Rodilla	Máquina	Ninguna	Gimnasio	Baja	Básico	Media	PG, GMM	Complementario	ENF001, ENF002, ENF003, ENF009	PAT007, PAT009	PAT002
PIE013	Pierna	Curl Femoral	Flexión Rodilla	Máquina	Polea	Gimnasio	Baja	Básico	Baja	PG, GMM	Aislado	ENF001, ENF002, ENF003, ENF008, ENF009	PAT005	Ninguna
PIE014	Pierna	Extensión de Cuádriceps	Extensión Rodilla	Máquina	Polea	Gimnasio	Baja	Básico	Baja	PG, GMM	Aislado	ENF001, ENF002, ENF003, ENF009	PAT005, PAT007	Ninguna
PIE015	Pierna	Hack Squat	Dominante Rodilla	Máquina	Ninguna	Gimnasio	Baja	Básico	Media-Alta	GMM	Complementario	ENF002, ENF003	PAT007, PAT008, PAT009, ENF001	PAT002
PIE016	Pierna	Pantorrilla Sentado	Flexión Plantar	Máquina	Mancuernas	Gimnasio/Casa	Baja	Básico	Baja	PG, GMM, SB	Aislado	ENF001, ENF002, ENF003, ENF008, ENF009	PAT008	Ninguna
PIE017	Pierna	Smith Squat	Dominante Rodilla	Smith	Barra	Gimnasio	Baja	Básico	Media	PG, GMM	Complementario	ENF002, ENF003, ENF009	PAT001, PAT007, PAT008, PAT009	PAT002
PIE018	Pierna	Pull Through	Dominante Cadera	Polea	Banda	Gimnasio/Casa	Baja	Básico	Baja-Media	PG, GMM, SB	Correctivo	ENF001, ENF002, ENF003	PAT001, PAT009	PAT002
PIE019	Pierna	Kickback Glúteo	Extensión Cadera	Polea	Banda	Gimnasio/Casa	Baja	Básico	Baja	PG, GMM	Aislado	ENF001, ENF002, ENF003, ENF008	PAT009	Ninguna
PIE020	Pierna	Abducción de Cadera	Abducción	Polea	Banda	Gimnasio/Casa	Baja	Básico	Baja	PG, GMM, SB	Aislado	ENF001, ENF002, ENF003, ENF008	PAT009	Ninguna
PIE021	Pierna	Aducción de Cadera	Aducción	Polea	Banda	Gimnasio/Casa	Baja	Básico	Baja	PG, GMM, SB	Aislado	ENF001, ENF002, ENF003, ENF008	PAT009	Ninguna
PIE022	Pierna	Sentadilla Polea	Dominante Rodilla	Polea	Banda	Gimnasio	Baja	Básico	Media	PG, GMM, SB	Complementario	ENF001, ENF002, ENF003, ENF009	PAT001, PAT007, PAT008	PAT002
PIE023	Pierna	Cable Lunge	Unilateral	Polea	Mancuernas	Gimnasio	Baja	Intermedio	Media	PG, GMM, RD	Complementario	ENF002, ENF003	PAT007, PAT008, PAT009	PAT006
PIE024	Pierna	Zancadas	Unilateral	Propio Peso	Mancuernas	Casa/Aire Libre	Baja-Media	Básico	Media	PG, GMM, SB	Metabólico	ENF002, ENF003, ENF009	PAT007, PAT008, PAT009	PAT006
PIE025	Pierna	Puente de Glúteo	Dominante Cadera	Propio Peso	Barra	Casa/Gimnasio	Baja-Media	Básico	Baja-Media	PG, GMM, SB	Correctivo	ENF001, ENF002, ENF003, ENF008, ENF009	PAT001	Ninguna
PIE026	Pierna	Air Squat	Dominante Rodilla	Propio Peso	Mancuernas	Casa/Aire Libre	Baja-Media	Básico	Baja-Media	PG, SB	Metabólico	ENF001, ENF002, ENF003, ENF009	PAT007, PAT008	Ninguna
PIE027	Pierna	Wall Sit	Isométrico	Propio Peso	Ninguna	Casa/Aire Libre	Baja-Media	Básico	Media	PG, SB	Estabilidad	ENF001, ENF002, ENF003, ENF009	PAT007	PAT006 severa
PIE028	Pierna	Jump Squat	Pliometría	Propio Peso	Mancuernas	Aire Libre/Gimnasio	Media-Alta	Intermedio	Alta	PG, RD	Potencia	Ninguna	ENF002	ENF001, PAT006, PAT007, PAT008, ENF008, ENF010
PIE029	Pierna	Pistol Squat	Unilateral	Propio Peso	Ninguna	Casa/Aire Libre	Alta	Avanzado	Alta	RD	Potencia	Ninguna	PAT008, PAT009	PAT006, PAT007, ENF001, ENF008
PIE030	Pierna	Sentadilla Zercher	Dominante Rodilla	Barra	Sandbag	Gimnasio	Alta	Avanzado	Alta	GMM, RD	Principal	ENF002, ENF003	PAT001, PAT007, PAT009, PAT010	PAT002
PEC001	Pecho	Press de Banca Plano	Empuje Horizontal	Barra	Smith	Gimnasio	Media-Alta	Intermedio	Alta	PG, GMM, RD	Principal	ENF002, ENF003, ENF009	PAT004, PAT005, PAT003, ENF004	PAT002
PEC002	Pecho	Press de Banca Inclinado	Empuje Inclinado	Barra	Smith	Gimnasio	Media-Alta	Intermedio	Alta	GMM, RD	Principal	ENF002, ENF003	PAT004, PAT005, PAT003, ENF004	PAT002
PEC003	Pecho	Press de Banca Declinado	Empuje Declinado	Barra	Smith	Gimnasio	Media	Intermedio	Alta	GMM, RD	Principal	ENF002, ENF003	PAT004, PAT005, ENF004	PAT002
PEC004	Pecho	Press Spoto	Empuje Horizontal	Barra	Smith	Gimnasio	Alta	Avanzado	Alta	GMM, RD	Principal	ENF002, ENF003	PAT004, PAT005, PAT003	PAT002
PEC005	Pecho	Floor Press	Empuje Horizontal	Barra	Mancuernas	Gimnasio, Casa	Media	Intermedio	Media-Alta	GMM, SB	Complementario	ENF001, ENF002, ENF003	PAT004, PAT005	Ninguna
PEC006	Pecho	Press con Agarre Cerrado	Empuje Horizontal	Barra	Smith	Gimnasio	Media-Alta	Intermedio	Alta	GMM, RD	Complementario	ENF002, ENF003	PAT004, PAT005, COD, MUN	PAT002
PEC007	Pecho	Press Plano con Mancuernas	Empuje Horizontal	Mancuernas	Barra	Gimnasio, Casa	Media	Básico	Media-Alta	PG, GMM, SB	Principal	ENF001, ENF002, ENF003	PAT004, PAT005	Ninguna
PEC008	Pecho	Press Inclinado con Mancuernas	Empuje Inclinado	Mancuernas	Barra	Gimnasio, Casa	Media	Intermedio	Media-Alta	GMM, RD	Principal	ENF001, ENF002, ENF003	PAT004, PAT005	Ninguna
PEC009	Pecho	Press Declinado con Mancuernas	Empuje Declinado	Mancuernas	Barra	Gimnasio	Media	Intermedio	Media	GMM	Complementario	ENF001, ENF002, ENF003	PAT004, PAT005	Ninguna
PEC010	Pecho	Aperturas Planas	Aducción Horizontal	Mancuernas	Polea	Gimnasio, Casa	Media	Básico	Baja	GMM, SB	Aislado	ENF001, ENF002, ENF003, ENF009	PAT004, PAT005	Ninguna
PEC011	Pecho	Aperturas Inclinadas	Aducción Horizontal	Mancuernas	Polea	Gimnasio	Media	Básico	Baja	GMM	Aislado	ENF001, ENF002, ENF003, ENF009	PAT004, PAT005	Ninguna
PEC012	Pecho	Pullover con Mancuerna	Extensión de Hombro	Mancuernas	Polea	Gimnasio, Casa	Media	Intermedio	Media	GMM, SB	Complementario	ENF002, ENF003	PAT001, PAT004, PAT005	PAT002
